genus,family,order,group,county,county_lat,county_lon,taxon_name,collector_number,GS_2C,GS_1C,GS_gb,id,collector_name,collection_location,longitude_decimal,latitude_decimal,collection_date_verbatim
Euphorbia,Euphorbiaceae,Malpighiales,Angiosperms,Greater London,51.490777,-0.082497,Euphorbia lathyris,MC 9003,2.52,1.26,1.23228,60150,Maarten J. M. Christenhusz,"Greater London, RBG Kew, weed in Queen's Garden",-0.2957,51.4841,04/08/2020
Orobanche,Orobanchaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Orobanche hederae,MC 9002,5.65,2.83,2.76774,60151,Maarten J. M. Christenhusz,"Greater London, RBG Kew, behind Jodrell bike shed, growing on ivy",-0.2876,51.4821,04/08/2020
Ononis,Fabaceae,Fabales,Angiosperms,Kent,51.259187,0.72614,Ononis repens,MC 9001,2.86,1.43,1.39854,60152,Maarten J. M. Christenhusz,"Kent, Dover",1.3412,51.1313,04/08/2020
Brassica,Brassicaceae,Brassicales,Angiosperms,Kent,51.259187,0.72614,Brassica oleracea,MC 9000,1.44,0.72,0.70416,60153,Maarten J. M. Christenhusz,"Kent, Dover",1.3412,51.1313,04/08/2020
Borago,Boraginaceae,Boraginales,Angiosperms,Greater London,51.490777,-0.082497,Borago officinalis,MC 9020,3.27,1.64,1.60392,60154,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Wolsey Drive, Tudor Allotment Association.",-0.3003,51.4262,06/08/2020
Crithmum,Apiaceae,Apiales,Angiosperms,Gwynedd,53.034484,-4.196014,Crithmum maritimum,MC 9050,,,,60155,Maarten J. M. Christenhusz,"Gwynedd, Wales, Trefor, at the pier",-4.4234,52.9993,21/08/2020
Arctium,Asteraceae,Asterales,Angiosperms,Greater London,51.490777,-0.082497,Arctium minus,MC 9019,,,,60156,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames.",-0.3051,51.4207,06/08/2020
Onobrychis,Fabaceae,Fabales,Angiosperms,Greater London,51.490777,-0.082497,Onobrychis viciifolia,MC 9058,2.91,1.46,1.42788,60157,Maarten J. M. Christenhusz,"Greater London, Kingston, behind Berkeley Homes: Richmond Chase along Latchmere Lane.",-0.2951,51.4284,27/08/2020
Honckenya,Caryophyllaceae,Caryophyllales,Angiosperms,Gwynedd,53.034484,-4.196014,Honckenya peploides,MC 9049,8.4,4.2,4.1076,60158,Maarten J. M. Christenhusz,"Gwynedd, Wales, Trefor, beachfront",-4.423,52.9985,21/08/2020
Potentilla,Rosaceae,Rosales,Angiosperms,Greater London,51.490777,-0.082497,Potentilla anserina,MC 9040,1.12,0.56,0.54768,60159,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames",-0.3057,51.4224,12/08/2020
Pulicaria,Asteraceae,Asterales,Angiosperms,Greater London,51.490777,-0.082497,Pulicaria dysenterica,MC 9039,2.19,1.1,1.0758,60160,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames",-0.3057,51.4224,12/08/2020
Parietaria,Urticaceae,Rosales,Angiosperms,Greater London,51.490777,-0.082497,Parietaria judaica,MC 9057,1.53,0.77,0.75306,60161,Maarten J. M. Christenhusz,"Greater London, RBG Kew, along the Thames, Bed 213 under Prunus laurocerasus",-0.2998,51.4812,26/08/2020
Cicerbita,Asteraceae,Asterales,Angiosperms,Greater London,51.490777,-0.082497,Cicerbita muralis,MC 9060,,,,60162,Maarten J. M. Christenhusz,"Greater London, RBG Kew, in lawn between bed 182-09 and 182-03.",-0.2946,51.4784,28/08/2020
Bryonia,Cucurbitaceae,Cucurbitales,Angiosperms,Greater London,51.490777,-0.082497,Bryonia dioica,MC 9030,3.26,1.63,1.59414,60163,Maarten J. M. Christenhusz,"Greater London, Kingston, Richmond Road, along fence of Fern Hill Primary School.",-0.303,51.4227,11/08/2020
Rumex,Polygonaceae,Caryophyllales,Angiosperms,Greater London,51.490777,-0.082497,Rumex sanguineus,MC 9056,1.77,0.88,0.86064,60164,Maarten J. M. Christenhusz,"Greater London, RBG Kew, Rhododonderon Dell, bed 227, under Quercus montana",-0.3003,51.4797,26/08/2020
Daucus,Apiaceae,Apiales,Angiosperms,Greater London,51.490777,-0.082497,Daucus carota,MC 9054,1.13,0.56,0.54768,60165,Maarten J. M. Christenhusz,"Greater London, RBG Kew, behind the Quarantine House",-0.2975,51.4819,26/08/2020
Geum,Rosaceae,Rosales,Angiosperms,Greater London,51.490777,-0.082497,Geum urbanum,MC 9055,3.29,1.64,1.60392,60166,Maarten J. M. Christenhusz,"Greater London, RBG Kew, Rhododonderon Dell, bed 227, under Quercus montana",-0.3003,51.4797,26/08/2020
Dioscorea,Dioscoreaceae,Dioscoreales,Angiosperms,Gwynedd,53.034484,-4.196014,Dioscorea communis,MC 9044,,,,60167,Maarten J. M. Christenhusz,"Gwynedd, Wales, Trefor, edge of Morfa farm in a hedgerow along the road.",-4.4285,52.9984,21/08/2020
Reynoutria,Polygonaceae,Caryophyllales,Angiosperms,Gwynedd,53.034484,-4.196014,Reynoutria japonica,MC 9047,9.93,4.96,4.85088,60168,Maarten J. M. Christenhusz,"Gwynedd, Wales, Trefor, edge of Morfa farm in a hedgerow along the road.",-4.4285,52.9984,21/08/2020
Cakile,Brassicaceae,Brassicales,Angiosperms,Gwynedd,53.034484,-4.196014,Cakile maritima,MC 9048,1.73,0.87,0.85086,60169,Maarten J. M. Christenhusz,"Gwynedd, Wales, Trefor, beachfront",-4.423,52.9985,21/08/2020
Dioscorea,Dioscoreaceae,Dioscoreales,Angiosperms,Gwynedd,53.034484,-4.196014,Dioscorea communis,MC 9045,2.64,1.32,1.29096,60170,Maarten J. M. Christenhusz,"Gwynedd, Wales, Trefor, edge of Morfa farm in a hedgerow along the road.",-4.4285,52.9984,21/08/2020
Chaenorhinum,Plantaginaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Chaenorhinum minus,MC 9043,0.91,0.46,0.44988,60171,Maarten J. M. Christenhusz,"Greater London, RBG Kew, between brickwork of the Bonsai house and the pavement, near the drain. ",-0.2883,51.4817,13/08/2020
Veronica,Plantaginaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Veronica chamaedrys,MC 9028,3.89,1.94,1.89732,60172,Maarten J. M. Christenhusz,"Greater London, RBG Kew, near Sackler crossing along the lake, Area 266",-0.299,51.477,10/08/2020
Stellaria,Caryophyllaceae,Caryophyllales,Angiosperms,Greater London,51.490777,-0.082497,Stellaria media,MC 9027,2.32,1.16,1.13448,60173,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Wolsey Drive, Tudor Allotment Association.",-0.3003,51.4262,10/08/2020
Alnus,Betulaceae,Fagales,Angiosperms,Greater London,51.490777,-0.082497,Alnus glutinosa,MC 9038,1.14,0.57,0.55746,60174,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames",-0.3051,51.4212,12/08/2020
Filipendula,Rosaceae,Rosales,Angiosperms,Greater London,51.490777,-0.082497,Filipendula ulmaria,MC 9037,0.8,0.4,0.3912,60175,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames",-0.3051,51.4212,12/08/2020
Convolvulus,Convolvulaceae,Solanales,Angiosperms,Greater London,51.490777,-0.082497,Convolvulus arvensis,MC 9026,1.31,0.66,0.64548,60176,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Wolsey Drive, Tudor Allotment Association.",-0.3003,51.4262,10/08/2020
Rumex,Polygonaceae,Caryophyllales,Angiosperms,Greater London,51.490777,-0.082497,Rumex hydrolapathum,MC 9036,,,,60177,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames",-0.3051,51.4212,12/08/2020
Humulus,Cannabaceae,Rosales,Angiosperms,Greater London,51.490777,-0.082497,Humulus lupulus,MC 9035,5.86,2.93,2.86554,60178,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames",-0.3051,51.4212,12/08/2020
Stachys,Lamiaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Stachys palustris,MC 9034,3.52,1.76,1.72128,60179,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames",-0.3051,51.4212,12/08/2020
Sambucus,Adoxaceae,Dipsacales,Angiosperms,Greater London,51.490777,-0.082497,Sambucus nigra,MC 9053,27.39,13.69,13.38882,60180,Maarten J. M. Christenhusz,"Greater London, RBG Kew, along the Thames, Bed 213 under Prunus laurocerasus",-0.2998,51.4812,26/08/2020
Eupatorium,Asteraceae,Asterales,Angiosperms,Greater London,51.490777,-0.082497,Eupatorium cannabinum,MC 9025,5.49,2.74,2.67972,60181,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames",-0.3051,51.4207,10/08/2020
Mercurialis,Euphorbiaceae,Malpighiales,Angiosperms,Greater London,51.490777,-0.082497,Mercurialis annua,MC 9052,,,,60182,Maarten J. M. Christenhusz,"Greater London, RBG Kew, at a drain between White Peaks and Lower Nursery",-0.2956,51.4828,26/08/2020
Arabidopsis,Brassicaceae,Brassicales,Angiosperms,Greater London,51.490777,-0.082497,Arabidopsis thaliana,MC 9041,0.36,0.18,0.17604,60183,Maarten J. M. Christenhusz,"Greater London, RBG Kew, along the wall in front of School of Horticulture facing the aquatic garden",-0.2887,51.4819,13/08/2020
Mercurialis,Euphorbiaceae,Malpighiales,Angiosperms,Greater London,51.490777,-0.082497,Mercurialis annua,MC 9051,1.41,0.71,0.69438,60184,Maarten J. M. Christenhusz,"Greater London, RBG Kew, at a drain between White Peaks and Lower Nursery",-0.2956,51.4828,26/08/2020
Chamaemelum,Asteraceae,Asterales,Angiosperms,Greater London,51.490777,-0.082497,Chamaemelum nobile,MC 9042,9.86,4.93,4.82154,60185,Maarten J. M. Christenhusz,"Greater London, RBG Kew, in lawn in the aquatic garden",-0.2887,51.4819,13/08/2020
Medicago,Fabaceae,Fabales,Angiosperms,Greater London,51.490777,-0.082497,Medicago arabica,MC 9024,1.24,0.62,0.60636,60186,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames",-0.3051,51.4207,10/08/2020
Misopates,Plantaginaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Misopates orontium,MC 9021,1,0.5,0.489,60187,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Wolsey Drive, Tudor Allotment Association.",-0.3003,51.4262,06/08/2020
