species,GB
Lysimachia maritima,1.62
Triglochin maritima,1.32
Eriocaulon aquaticum,4.00
Atriplex praecox,1.79
Molinia caerulea,1.89
Cirsium heterophyllum,1.25
Polystichum lonchitis,6.62
Cystopteris montana,10.00
Saxifraga aizoides,1.67
Polytrichastrum alpinum,0.64
Sciuro hypnum-glaciale,0.50
Andreaea nivalis,0.33
Polytrichastrum sexangulare,0.98
Equisetum sylvaticum,12.74
Cryptogramma crispa,11.44
Geranium pratense,2.52
Solidago virgaurea,1.27
Hymenophyllum tunbrigense,15.12
Puccinellia maritima,5.16
Beta maritima,1.59
Tamarix gallica,1.69
Salicornia ramossisima,1.26
Artemisia maritima,8.23
Atriplex portulacoides,1.41
Frankenia laevis,1.27
Trifolium fragiferum,0.62
Ruppia maritima,1.97
Atriplex glabriuscula,0.99
Salix myrsinifolia,1.24
Salix triandra,0.60
Salix euxina,0.94
Salix purpurea,0.46
Salix viminalis,0.41
Salix repens,0.43
Schoenoplectus tabernaemontani,0.63
Suaeda maritima,1.85
Tripleurospermum maritimum,3.01
Hymenophyllum wilsonii,28.25
Myriophyllum alterniflorum,0.59
Juncus inflexus,0.39
Prunus lusitanica,1.49
Hypochaeris radicata,1.47
Ammophila arenaria,4.37
Crassula helmsii,0.66
Crocosmia Crocosmia x crocosmiiflora,1.14
