Plant group,Taxonomic Division,Family,Genus,Species,NCBI name (if different),Status,Priority,Collected in 2020,"""Black list"" (collected/sequenced by others)",Collected by RBGE after jan2021,Collected by RBGE after jan2022,Shipping,Notes
bryophyte,Liverwort,Gymnomitriaceae,Marsupella,condensata,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Marsupella,emarginata,,dtol_family_representative,yes,yes,,,,RBGE_0003,
bryophyte,Liverwort,Gymnomitriaceae,Marsupella,funckii,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Marsupella,profunda,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Marsupella,sparsifolia,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Marsupella,sphacelata,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Marsupella,sprucei,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Marsupella,stableri,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Nardia,breidleri,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Nardia,compressa,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Nardia,geoscyphus,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Nardia,insecta,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Nardia,scalaris,,dtol_other_priority,yes,,,yes,,RBGE_000014,
bryophyte,Liverwort,Haplomitriaceae,Haplomitrium,hookeri,,dtol_family_representative,yes,,,,,,
bryophyte,Liverwort,Harpanthaceae,Harpanthus,flotovianus,,dtol_family_representative,yes,,,yes,,RBGE_000014,Usually in small quantities
bryophyte,Liverwort,Harpanthaceae,Harpanthus,scutatus,,dtol_other_priority,yes,,,,,,Usually in small quantities
bryophyte,Liverwort,Herbertaceae,Herbertus,borealis,,dtol_other_priority,yes,,,yes,,RBGE_000014,
bryophyte,Liverwort,Herbertaceae,Herbertus,hutchinsiae,,dtol_family_representative,yes,,,yes,,RBGE_000014,
bryophyte,Liverwort,Herbertaceae,Herbertus,norenus,,dtol,,,,,,,
bryophyte,Liverwort,Herbertaceae,Herbertus,stramineus,,dtol,,,,yes,,RBGE_000014,
bryophyte,Liverwort,Hygrobiellaceae,Hygrobiella,laxifolia,,dtol_family_representative,yes,,,,,,
bryophyte,Liverwort,Jubulaceae,Jubula,hutchinsiae,,dtol_family_representative,yes,,,,,,
bryophyte,Liverwort,Jungermanniaceae,Eremonotus,myriocarpus,,dtol,,,,,,,
bryophyte,Liverwort,Jungermanniaceae,Jungermannia,atrovirens,,dtol,,,,,,,
bryophyte,Liverwort,Jungermanniaceae,Jungermannia,borealis,,dtol,,,,,,,
bryophyte,Liverwort,Jungermanniaceae,Jungermannia,eucordifolia,,dtol_family_representative,yes,,,yes,,RBGE_000014,
bryophyte,Liverwort,Jungermanniaceae,Jungermannia,polaris,,dtol,,,,,,,
bryophyte,Liverwort,Jungermanniaceae,Jungermannia,pumila,,dtol,,,,,,,
bryophyte,Liverwort,Jungermanniaceae,Liochlaena,lanceolata,,dtol,,,,,,,
bryophyte,Liverwort,Jungermanniaceae,Mesoptychia,badensis,,dtol,,,,,,,
bryophyte,Liverwort,Jungermanniaceae,Mesoptychia,bantriensis,,dtol_other_priority,yes,,,yes,,RBGE_000014,
bryophyte,Liverwort,Jungermanniaceae,Mesoptychia,collaris,,dtol,,,,,,,
bryophyte,Liverwort,Jungermanniaceae,Mesoptychia,fitzgeraldiae,,dtol,,,,,,,
bryophyte,Liverwort,Jungermanniaceae,Mesoptychia,gillmanii,,dtol,,,,,,,
bryophyte,Liverwort,Jungermanniaceae,Mesoptychia,heterocolpos,,dtol,,,,,,,
bryophyte,Liverwort,Jungermanniaceae,Mesoptychia,rutheana,,dtol,,,,,,,
bryophyte,Liverwort,Jungermanniaceae,Mesoptychia,turbinata,,dtol,,,,,,,
bryophyte,Liverwort,Lejeuneaceae,Cololejeunea,calcarea,,dtol,,,,,,,
bryophyte,Liverwort,Lejeuneaceae,Cololejeunea,microscopica,,dtol,,,,,,,
bryophyte,Liverwort,Lejeuneaceae,Cololejeunea,rossettiana,,dtol,,,,,,,
bryophyte,Liverwort,Lejeuneaceae,Colura,calyptrifolia,,dtol,,,,,yes,,
bryophyte,Liverwort,Lejeuneaceae,Drepanolejeunea,hamatifolia,,dtol,,,,,,,
bryophyte,Liverwort,Lejeuneaceae,Harpalejeunea,molleri,,dtol,,,,,,,
bryophyte,Liverwort,Lejeuneaceae,Lejeunea,cavifolia,,dtol,,,,,,,
bryophyte,Liverwort,Lejeuneaceae,Lejeunea,eckloniana,,dtol,,,,,,,
bryophyte,Liverwort,Lejeuneaceae,Lejeunea,flava,,dtol,,,,,,,
bryophyte,Liverwort,Lejeuneaceae,Lejeunea,hibernica,,dtol,,,,,,,
bryophyte,Liverwort,Lejeuneaceae,Lejeunea,lamacerina,,dtol,,,,,,,
bryophyte,Liverwort,Lejeuneaceae,Lejeunea,mandonii,,dtol,,,,,,,
bryophyte,Liverwort,Lejeuneaceae,Lejeunea,patens,,dtol_family_representative,yes,yes,,,,,
bryophyte,Liverwort,Lejeuneaceae,Marchesinia,mackaii,,dtol_other_priority,yes,,,,,,
bryophyte,Liverwort,Lejeuneaceae,Microlejeunea,ulicina,,dtol,,,,,,,
bryophyte,Liverwort,Lejeuneaceae,Myriocoleopsis,minutissima,,dtol,,,,,,,
bryophyte,Liverwort,Lepidoziaceae,Bazzania,pearsonii,,dtol,,,,yes,,RBGE_000019,
bryophyte,Liverwort,Lepidoziaceae,Bazzania,tricrenata,,dtol_family_representative,yes,,,yes,,RBGE_000019,
bryophyte,Liverwort,Lepidoziaceae,Bazzania,trilobata,,dtol,,,,,yes,,
bryophyte,Liverwort,Lepidoziaceae,Kurzia,pauciflora,,dtol,,,,,,,
bryophyte,Liverwort,Lepidoziaceae,Kurzia,sylvatica,,dtol,,,,,,,
bryophyte,Liverwort,Lepidoziaceae,Kurzia,trichoclados,,dtol,,,,,yes,,
bryophyte,Liverwort,Lepidoziaceae,Lepidozia,cupressina,,dtol,,,,,yes,,
bryophyte,Liverwort,Lepidoziaceae,Lepidozia,pearsonii,,dtol,,,,,,,
bryophyte,Liverwort,Lepidoziaceae,Lepidozia,reptans,,dtol_other_priority,yes,yes,,,,RBGE_0003,
bryophyte,Liverwort,Lepidoziaceae,Telaranea,europaea,,dtol,,,,,,,
bryophyte,Liverwort,Lepidoziaceae,Tricholepidozia,lindenbergii,,dtol,,,,,,,
bryophyte,Liverwort,Lepidoziaceae,Tricholepidozia,tetradactyla,,dtol,,,,,yes,,not native
bryophyte,Liverwort,Lophocoleaceae,Chiloscyphus,pallescens,,dtol_other_priority,yes,,,,,,
bryophyte,Liverwort,Lophocoleaceae,Chiloscyphus,polyanthos,,dtol,,,,,yes,,
bryophyte,Liverwort,Lophocoleaceae,Heteroscyphus,fissistipus,,dtol,,,,,,,
bryophyte,Liverwort,Lophocoleaceae,Leptoscyphus,cuneifolius,,dtol,,,,,,,
bryophyte,Liverwort,Lophocoleaceae,Lophocolea,bidentata,,dtol_family_representative,yes,yes,,,,RBGE_0003,
bryophyte,Liverwort,Lophocoleaceae,Lophocolea,bispinosa,,dtol,,,,yes,,,
bryophyte,Liverwort,Lophocoleaceae,Lophocolea,brookwoodiana,,dtol,,,,,,,"not native, but dubiously endemic"
